id,created_at,text
1193344593653157888,2019-11-10 01:48:17,"b'RT @GOPChairwoman: Things Democrats did this week: Sham impeachment proceedings.\n\nThings they didn\xe2\x80\x99t: Ratify #USMCA, fund the troops, lower\xe2\x80\xa6'"
1193344047567425536,2019-11-10 01:46:06,b'RT @ericbolling: Great day.. great game .. great reception for @FLOTUS and @realDonaldTrump \n\nThe south knows what\xe2\x80\x99s what! https://t.co/3vy\xe2\x80\xa6'
1193343383395155968,2019-11-10 01:43:28,"b'RT @marklevinshow: Tomorrow night at my new time, 8 pm eastern on Fox, my one hour interview with Don Jr.\xc2\xa0 Please don\xe2\x80\x99t miss it on Life, Li\xe2\x80\xa6'"
1193343223810248704,2019-11-10 01:42:50,b'Great! https://t.co/QlLjEHUR0G'
1193342176329007105,2019-11-10 01:38:40,b'Thank you Andrew. Meadow was watching and is so proud of her great father and family!'
1193339284746428416,2019-11-10 01:27:11,b'Thank you Terrence! https://t.co/flwd34IsOn'
1193338157548236800,2019-11-10 01:22:42,b'RT @SteveScalise: Schiff said we\xe2\x80\x99d hear from the whistleblower.\n\nBut when collusion between the whistleblower &amp; Schiff\xe2\x80\x99s staff was revealed\xe2\x80\xa6'
1193335723111305216,2019-11-10 01:13:02,b'RT @UA_Athletics: Welcome to Bryant-Denny Stadium @POTUS and @FLOTUS! \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 #RollTide https://t.co/D6EOeBU1CP'
1193329124644753409,2019-11-10 00:46:48,"b'RT @RealKyleMorris: Alabama and LSU fans welcome President @realDonaldTrump and First Lady Melania Trump to Tuscaloosa, Alabama. \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 https:/\xe2\x80\xa6'"
1193328925742469120,2019-11-10 00:46:01,b'But the Fake News will never show this. Thank you! https://t.co/T8grDsDRvJ'
1193328202740944897,2019-11-10 00:43:09,b'RT @RealKyleMorris: Alabama loves President @realDonaldTrump. This is what the fake news media won\xe2\x80\x99t show you. #MAGA \xf0\x9f\x87\xba\xf0\x9f\x87\xb8https://t.co/qsAkePq\xe2\x80\xa6'
1193327464308625409,2019-11-10 00:40:13,b'Thank you to LSU and Alabama for a great game!'
1193326075138297857,2019-11-10 00:34:41,b'Totally! https://t.co/VqpNDMua5X'
1193321783065300992,2019-11-10 00:17:38,b'RT @RepDevinNunes: We learn from the press today that Chm Schiff had prior knowledge and involvement in the WB complaint. He withheld this\xe2\x80\xa6'
